"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","prediction_mod","correct_prediction","prediction_mod_tuned","correct_prediction_tuned"
"1","0","3","male",22,1,0,7.25,"0","S","0","correct","0","correct"
"2","1","1","female",38,1,0,71.28,"1","C","1","correct","1","correct"
"3","1","3","female",26,0,0,7.92,"0","S","1","correct","1","correct"
"4","1","1","female",35,1,0,53.1,"1","S","1","correct","1","correct"
"5","0","3","male",35,0,0,8.05,"0","S","0","correct","0","correct"
"6","0","3","male",30.69,0,0,8.46,"0","Q","0","correct","0","correct"
"7","0","1","male",54,0,0,51.86,"1","S","0","correct","0","correct"
"8","0","3","male",2,3,1,21.08,"0","S","0","correct","0","correct"
"9","1","3","female",27,0,2,11.13,"0","S","1","correct","1","correct"
"10","1","2","female",14,1,0,30.07,"0","C","1","correct","1","correct"
"11","1","3","female",4,1,1,16.7,"1","S","1","correct","1","correct"
"12","1","1","female",58,0,0,26.55,"1","S","1","correct","1","correct"
"13","0","3","male",20,0,0,8.05,"0","S","0","correct","0","correct"
"14","0","3","male",39,1,5,31.27,"0","S","0","correct","0","correct"
"15","0","3","female",14,0,0,7.85,"0","S","1","incorrect","1","incorrect"
"16","1","2","female",55,0,0,16,"0","S","1","correct","1","correct"
"17","0","3","male",2,4,1,29.12,"0","Q","0","correct","0","correct"
"18","1","2","male",3.06,0,0,13,"0","S","0","incorrect","0","incorrect"
"19","0","3","female",31,1,0,18,"0","S","1","incorrect","1","incorrect"
"20","1","3","female",39.59,0,0,7.22,"0","C","1","correct","1","correct"
"21","0","2","male",35,0,0,26,"0","S","0","correct","0","correct"
"22","1","2","male",34,0,0,13,"1","S","0","incorrect","0","incorrect"
"23","1","3","female",15,0,0,8.03,"0","Q","1","correct","1","correct"
"24","1","1","male",28,0,0,35.5,"1","S","0","incorrect","1","correct"
"25","0","3","female",8,3,1,21.08,"0","S","1","incorrect","1","incorrect"
"26","1","3","female",38,1,5,31.39,"0","S","0","incorrect","1","correct"
"27","0","3","male",13.41,0,0,7.22,"0","C","0","correct","0","correct"
"28","0","1","male",19,3,2,263,"1","S","0","correct","0","correct"
"29","1","3","female",22.33,0,0,7.88,"0","Q","1","correct","1","correct"
"30","0","3","male",42.01,0,0,7.9,"0","S","0","correct","0","correct"
"31","0","1","male",40,0,0,27.72,"0","C","0","correct","1","incorrect"
"32","1","1","female",14.46,1,0,146.52,"1","C","1","correct","1","correct"
"33","1","3","female",45.9,0,0,7.75,"0","Q","1","correct","1","correct"
"34","0","2","male",66,0,0,10.5,"0","S","0","correct","0","correct"
"35","0","1","male",28,1,0,82.17,"0","C","1","incorrect","1","incorrect"
"36","0","1","male",42,1,0,52,"0","S","0","correct","0","correct"
"37","1","3","male",14.83,0,0,7.23,"0","C","0","incorrect","0","incorrect"
"38","0","3","male",21,0,0,8.05,"0","S","0","correct","0","correct"
"39","0","3","female",18,2,0,18,"0","S","1","incorrect","1","incorrect"
"40","1","3","female",14,1,0,11.24,"0","C","1","correct","1","correct"
"41","0","3","female",40,1,0,9.47,"0","S","0","correct","1","incorrect"
"42","0","2","female",27,1,0,21,"0","S","1","incorrect","1","incorrect"
"43","0","3","male",14.67,0,0,7.9,"0","C","0","correct","0","correct"
"44","1","2","female",3,1,2,41.58,"0","C","1","correct","1","correct"
"45","1","3","female",19,0,0,7.88,"0","Q","1","correct","1","correct"
"46","0","3","male",41.22,0,0,8.05,"0","S","0","correct","0","correct"
"47","0","3","male",28.37,1,0,15.5,"0","Q","0","correct","0","correct"
"48","1","3","female",36.46,0,0,7.75,"0","Q","1","correct","1","correct"
"49","0","3","male",6.19,2,0,21.68,"0","C","0","correct","0","correct"
"50","0","3","female",18,1,0,17.8,"0","S","1","incorrect","1","incorrect"
"51","0","3","male",7,4,1,39.69,"0","S","0","correct","0","correct"
"52","0","3","male",21,0,0,7.8,"0","S","0","correct","0","correct"
"53","1","1","female",49,1,0,76.73,"1","C","1","correct","1","correct"
"54","1","2","female",29,1,0,26,"0","S","1","correct","1","correct"
"55","0","1","male",65,0,1,61.98,"1","C","0","correct","0","correct"
"56","1","1","male",29.86,0,0,35.5,"1","S","0","incorrect","1","correct"
"57","1","2","female",21,0,0,10.5,"0","S","1","correct","1","correct"
"58","0","3","male",28.5,0,0,7.23,"0","C","0","correct","0","correct"
"59","1","2","female",5,1,2,27.75,"0","S","1","correct","1","correct"
"60","0","3","male",11,5,2,46.9,"0","S","0","correct","0","correct"
"61","0","3","male",22,0,0,7.23,"0","C","0","correct","0","correct"
"62","1","1","female",38,0,0,80,"1","S","1","correct","1","correct"
"63","0","1","male",45,1,0,83.47,"1","S","0","correct","0","correct"
"64","0","3","male",4,3,2,27.9,"0","S","0","correct","0","correct"
"65","0","1","male",24.44,0,0,27.72,"0","C","1","incorrect","1","incorrect"
"66","1","3","male",31.83,1,1,15.25,"0","C","0","incorrect","0","incorrect"
"67","1","2","female",29,0,0,10.5,"1","S","1","correct","1","correct"
"68","0","3","male",19,0,0,8.16,"0","S","0","correct","0","correct"
"69","1","3","female",17,4,2,7.92,"0","S","0","incorrect","0","incorrect"
"70","0","3","male",26,2,0,8.66,"0","S","0","correct","0","correct"
"71","0","2","male",32,0,0,10.5,"0","S","0","correct","0","correct"
"72","0","3","female",16,5,2,46.9,"0","S","0","correct","0","correct"
"73","0","2","male",21,0,0,73.5,"0","S","0","correct","0","correct"
"74","0","3","male",26,1,0,14.45,"0","C","0","correct","0","correct"
"75","1","3","male",32,0,0,56.5,"0","S","0","incorrect","0","incorrect"
"76","0","3","male",25,0,0,7.65,"1","S","0","correct","0","correct"
"77","0","3","male",56.67,0,0,7.9,"0","S","0","correct","0","correct"
"78","0","3","male",34.58,0,0,8.05,"0","S","0","correct","0","correct"
"79","1","2","male",0.83,0,2,29,"0","S","0","incorrect","1","correct"
"80","1","3","female",30,0,0,12.47,"0","S","1","correct","1","correct"
"81","0","3","male",22,0,0,9,"0","S","0","correct","0","correct"
"82","1","3","male",29,0,0,9.5,"0","S","0","incorrect","0","incorrect"
"83","1","3","female",30.66,0,0,7.79,"0","Q","1","correct","1","correct"
"84","0","1","male",28,0,0,47.1,"0","S","0","correct","1","incorrect"
"85","1","2","female",17,0,0,10.5,"0","S","1","correct","1","correct"
"86","1","3","female",33,3,0,15.85,"0","S","0","incorrect","0","incorrect"
"87","0","3","male",16,1,3,34.38,"0","S","0","correct","0","correct"
"88","0","3","male",21.35,0,0,8.05,"0","S","0","correct","0","correct"
"89","1","1","female",23,3,2,263,"1","S","1","correct","1","correct"
"90","0","3","male",24,0,0,8.05,"0","S","0","correct","0","correct"
"91","0","3","male",29,0,0,8.05,"0","S","0","correct","0","correct"
"92","0","3","male",20,0,0,7.85,"0","S","0","correct","0","correct"
"93","0","1","male",46,1,0,61.17,"1","S","0","correct","0","correct"
"94","0","3","male",26,1,2,20.58,"0","S","0","correct","0","correct"
"95","0","3","male",59,0,0,7.25,"0","S","0","correct","0","correct"
"96","0","3","male",29.73,0,0,8.05,"0","S","0","correct","0","correct"
"97","0","1","male",71,0,0,34.65,"1","C","0","correct","0","correct"
"98","1","1","male",23,0,1,63.36,"1","C","1","correct","1","correct"
"99","1","2","female",34,0,1,23,"0","S","1","correct","1","correct"
"100","0","2","male",34,1,0,26,"0","S","0","correct","0","correct"
"101","0","3","female",28,0,0,7.9,"0","S","1","incorrect","1","incorrect"
"102","0","3","male",30.86,0,0,7.9,"0","S","0","correct","0","correct"
"103","0","1","male",21,0,1,77.29,"1","S","1","incorrect","1","incorrect"
"104","0","3","male",33,0,0,8.65,"0","S","0","correct","0","correct"
"105","0","3","male",37,2,0,7.92,"0","S","0","correct","0","correct"
"106","0","3","male",28,0,0,7.9,"0","S","0","correct","0","correct"
"107","1","3","female",21,0,0,7.65,"0","S","1","correct","1","correct"
"108","1","3","male",38.13,0,0,7.78,"0","S","0","incorrect","0","incorrect"
"109","0","3","male",38,0,0,7.9,"0","S","0","correct","0","correct"
"110","1","3","female",39.7,1,0,24.15,"0","Q","1","correct","1","correct"
"111","0","1","male",47,0,0,52,"1","S","0","correct","0","correct"
"112","0","3","female",14.5,1,0,14.45,"0","C","1","incorrect","1","incorrect"
"113","0","3","male",22,0,0,8.05,"0","S","0","correct","0","correct"
"114","0","3","female",20,1,0,9.82,"0","S","1","incorrect","1","incorrect"
"115","0","3","female",17,0,0,14.46,"0","C","1","incorrect","1","incorrect"
"116","0","3","male",21,0,0,7.92,"0","S","0","correct","0","correct"
"117","0","3","male",70.5,0,0,7.75,"0","Q","0","correct","0","correct"
"118","0","2","male",29,1,0,21,"0","S","0","correct","0","correct"
"119","0","1","male",24,0,1,247.52,"1","C","1","incorrect","1","incorrect"
"120","0","3","female",2,4,2,31.27,"0","S","0","correct","1","incorrect"
"121","0","2","male",21,2,0,73.5,"0","S","0","correct","0","correct"
"122","0","3","male",38.65,0,0,8.05,"0","S","0","correct","0","correct"
"123","0","2","male",32.5,1,0,30.07,"0","C","0","correct","0","correct"
"124","1","2","female",32.5,0,0,13,"1","S","1","correct","1","correct"
"125","0","1","male",54,0,1,77.29,"1","S","0","correct","0","correct"
"126","1","3","male",12,1,0,11.24,"0","C","0","incorrect","0","incorrect"
"127","0","3","male",18.94,0,0,7.75,"0","Q","0","correct","0","correct"
"128","1","3","male",24,0,0,7.14,"0","S","0","incorrect","0","incorrect"
"129","1","3","female",44.34,1,1,22.36,"1","C","1","correct","1","correct"
"130","0","3","male",45,0,0,6.97,"0","S","0","correct","0","correct"
"131","0","3","male",33,0,0,7.9,"0","C","0","correct","0","correct"
"132","0","3","male",20,0,0,7.05,"0","S","0","correct","0","correct"
"133","0","3","female",47,1,0,14.5,"0","S","0","correct","0","correct"
"134","1","2","female",29,1,0,26,"0","S","1","correct","1","correct"
"135","0","2","male",25,0,0,13,"0","S","0","correct","0","correct"
"136","0","2","male",23,0,0,15.05,"0","C","0","correct","0","correct"
"137","1","1","female",19,0,2,26.28,"1","S","1","correct","1","correct"
"138","0","1","male",37,1,0,53.1,"1","S","0","correct","0","correct"
"139","0","3","male",16,0,0,9.22,"0","S","0","correct","0","correct"
"140","0","1","male",24,0,0,79.2,"1","C","1","incorrect","1","incorrect"
"141","0","3","female",12.86,0,2,15.25,"0","C","1","incorrect","1","incorrect"
"142","1","3","female",22,0,0,7.75,"0","S","1","correct","1","correct"
"143","1","3","female",24,1,0,15.85,"0","S","1","correct","1","correct"
"144","0","3","male",19,0,0,6.75,"0","Q","0","correct","0","correct"
"145","0","2","male",18,0,0,11.5,"0","S","0","correct","0","correct"
"146","0","2","male",19,1,1,36.75,"0","S","0","correct","0","correct"
"147","1","3","male",27,0,0,7.8,"0","S","0","incorrect","0","incorrect"
"148","0","3","female",9,2,2,34.38,"0","S","1","incorrect","1","incorrect"
"149","0","2","male",36.5,0,2,26,"1","S","0","correct","0","correct"
"150","0","2","male",42,0,0,13,"0","S","0","correct","0","correct"
"151","0","2","male",51,0,0,12.53,"0","S","0","correct","0","correct"
"152","1","1","female",22,1,0,66.6,"1","S","1","correct","1","correct"
